
國富氫能	02582.HK		2024/11/15	100	80.42-101.57	65	65.000	20.1	15手	15.0%	88.500	+20.000%	+36.154%
傲基股份	02519.HK	跌穿上市價	2024/11/08	300	43.60-62.11	15.6	15.600	16.7	2手	70.0%	10.960	-11.410%	-29.744%
晶科電子股份	02551.HK		2024/11/08	1,000	21.70-31.96	3.61	3.610	5,676.8	700手	0.2%	3.870	+47.650%	+7.202%
德翔海運	02510.HK	跌穿上市價	2024/11/01	1,000	64.55-79.25	4.18	4.180	11.1	20手	5.9%	4.010	-1.910%	-4.067%
華昊中天醫藥－Ｂ	02563.HK		2024/10/31	200	71.02-108.83	16	16.000	20.5	30手	4.5%	28.950	+30.000%	+80.938%
龍蟠科技	02465.HK	跌穿上市價	2024/10/30	500	24.81-36.31	5.5	5.500	3.0	2手	70.0%	3.840	-13.640%	-30.182%
地平線機器人－Ｗ	09660.HK		2024/10/24	600	469.08-716.64	3.99	3.990	32.8	1手	100.0%	4.120	+2.760%	+3.258%
華潤飲料	02460.HK	跌穿上市價	2024/10/23	200	294.98-402.42	14.5	14.500	233.5	7手	30.0%	12.720	+15.030%	-12.276%
七牛智能	02567.HK	跌穿上市價	2024/10/16	1,000	19.97-33.54	2.75	2.750	18.9	2手	80.0%	0.930	-56.730%	-66.182%
榮利營造	09639.HK	跌穿上市價	2024/10/09	5,000	3.95-6.80	0.73	0.730	119.6	16手	25.0%	0.435	-15.070%	-40.411%
太美醫療科技	02576.HK	跌穿上市價	2024/10/08	200	28.13-65.85	13	13.000	155.3	40手	2.7%	5.300	-29.230%	-59.231%
卡羅特	02549.HK		2024/10/02	500	23.42-60.38	5.78	5.780	1,346.3	80手	15.0%	6.010	+58.300%	+3.979%
美的集團	00300.HK		2024/09/17	100	4,435.20-7,723.37	54.8	54.800	4.3	1手	100.0%	69.300	+7.850%	+26.460%
集信國控	08629.HK		2024/09/06	500	2.04-4.37	9.9	9.900	13.3	20手	10.1%	10.500	-4.040%	+6.061%
同源康醫藥－Ｂ	02410.HK		2024/08/20	500	47.69-137.21	12.1	12.100	1.3	3手	47.9%	29.000	+13.220%	+139.669%
