name	code	sink_below	lst_date	lot_size	mkt_cap	off_price	lst_price	over_sub_rate	one_lot	one_lot_suc_rate	last	first_per	acc_per
國富氫能	02582.HK	0	2024/11/15	100	101.57	65	65.000	20.1	15	0.15	88.500	0.2	0.3615
傲基股份	02519.HK	1	2024/11/08	300	62.11	15.6	15.600	16.7	2	0.7	10.960	-0.1141	-0.2974
晶科電子股份	02551.HK	0	2024/11/08	1,000	31.96	3.61	3.610	5,676.8	700	0.002	3.870	0.4765	0.072
德翔海運	02510.HK	1	2024/11/01	1,000	79.25	4.18	4.180	11.1	20	0.059	4.010	-0.0191	-0.0407
華昊中天醫藥－Ｂ	02563.HK	0	2024/10/31	200	108.83	16	16.000	20.5	30	0.045	28.950	0.3	0.8094
龍蟠科技	02465.HK	1	2024/10/30	500	36.31	5.5	5.500	3.0	2	0.7	3.840	-0.1364	-0.3018
地平線機器人－Ｗ	09660.HK	0	2024/10/24	600	716.64	3.99	3.990	32.8	1	1.0	4.120	0.0276	0.0326
華潤飲料	02460.HK	1	2024/10/23	200	402.42	14.5	14.500	233.5	7	0.3	12.720	0.1503	-0.1228
七牛智能	02567.HK	1	2024/10/16	1,000	33.54	2.75	2.750	18.9	2	0.8	0.930	-0.5673	-0.6618
榮利營造	09639.HK	1	2024/10/09	5,000	6.80	0.73	0.730	119.6	16	0.25	0.435	-0.1507	-0.4041
太美醫療科技	02576.HK	1	2024/10/08	200	65.85	13	13.000	155.3	40	0.027	5.300	-0.2923	-0.5923
卡羅特	02549.HK	0	2024/10/02	500	60.38	5.78	5.780	1,346.3	80	0.15	6.010	0.583	0.0398
美的集團	00300.HK	0	2024/09/17	100	7,723.37	54.8	54.800	4.3	1	1.0	69.300	0.0785	0.2646
集信國控	08629.HK	0	2024/09/06	500	4.37	9.9	9.900	13.3	20	0.101	10.500	-0.0404	0.0606
同源康醫藥－Ｂ	02410.HK	0	2024/08/20	500	137.21	12.1	12.100	1.3	3	0.479	29.000	0.1322	1.3967
黑芝麻智能	02533.HK	1	2024/08/08	100	189.25	28	28.000	1.5	1	1.0	24.700	-0.2696	-0.1179
眾淼控股	01471.HK	1	2024/08/06	500	11.08	7	7.000	15.1	10	0.5	6.750	0.05	-0.0357
廣聯科技控股	02531.HK	0	2024/07/15	500	91.65	4.7	4.700	1.5	1	1.0	23.650	0.0213	4.0319
西銳	02507.HK	1	2024/07/12	100	103.76	27.5	27.500	0.6	1	1.0	20.000	0.0	-0.2727
瑞昌國際控股	01334.HK	1	2024/07/10	2,500	7.75	1.05	1.050	18.2	20	0.2	0.910	0.1429	-0.1333
聲通科技	02495.HK	0	2024/07/10	20	93.78	152.1	152.100	2.5	3	0.349	209.000	-0.1124	0.3741
如祺出行	09680.HK	1	2024/07/10	100	81.75	35	35.000	-1	1	1.0	15.660	-0.0314	-0.5526
方舟健客	06086.HK	1	2024/07/09	500	109.63	8.18	8.180	15.6	4	0.4	5.540	-0.4462	-0.3227
百望股份	06657.HK	0	2024/07/09	100	116.34	36	36.000	5.6	7	0.4	36.000	0.0806	0.0
經發物業	01354.HK	0	2024/07/03	300	20.67	7.5	7.500	117.9	100	0.038	41.250	-0.1147	4.5
中贛通信	02545.HK	1	2024/07/03	2,000	5.31	1.25	1.250	195.0	2	0.7	0.340	-0.464	-0.728
元續科技	08637.HK	1	2024/07/02	1,000	2.66	2.42	2.420	2,479.6	300	0.03	0.950	-0.3926	-0.6074
天聚地合	02479.HK	1	2024/06/28	50	58.74	83.33	83.330	601.9	120	0.013	72.950	-0.2782	-0.1246
